,Property_Type,Price,Title,Location,Description,Time,Amenities
366,Apartment,"2,367,200EGP",Prime location apartment 160 for sale at Hyde park,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2bedrooms,3bathrooms,160sqm",Listed 4 months ago,"Unfurnished,Security,Children's Pool,Maid Service,Balcony,Shared Pool,Pets Allowed,Children's Play Area,Barbecue Area,Covered Parking"
367,Apartment,"3,100,000EGP",Apt160m  Al Marasem-Fifth Square New Cairo,"Fifth Square, North Investors Area, New Cairo City, Cairo","3bedrooms,3bathrooms,160sqm",Listed 13 days ago,"Unfurnished,Central A/C,Security,Children's Pool,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
368,Chalet,"850,000EGP",لبيع شاليه مميز بـ بورتو السخنه مرحله (البانوراما),"Panorama, Porto Sokhna, Al Ain Al Sokhna, Suez","2bedrooms,2bathrooms,100sqm",Listed 1 month ago,"Furnished,Kitchen Appliances,Central A/C,Security,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
369,Twin House,"5,350,000EGP",Very prime location twin in azha delivered,"Azha, Al Ain Al Sokhna, Suez","3bedrooms,3bathrooms,145sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
370,Apartment,"500,250EGP",Apartment for sale 145m | In Mountain View iCity,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,145sqm",Listed 2 months ago,"Unfurnished,Security,Lobby in Building,Balcony,Pets Allowed,Shared Spa"
371,Villa,"20,020,000EGP",Furnished Standalone Villa + Pool | Installments,"Ancient Sands Resort, Al Gouna, Hurghada, Red Sea","4bedrooms,5bathrooms,262sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Security,Private Garden,Balcony,Maids Room,Study,Walk-in Closet,Covered Parking"
372,Townhouse,"9,674,000EGP",Town House Corner|10%DP| installments over 7 years,"Midtown Sky, New Capital Compounds, New Capital City, Cairo","4bedrooms,5bathrooms,350sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Maids Room,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
373,Villa,"1,500,000EGP",villa 280m prime location in mountain view icity,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza","5bedrooms,6bathrooms,280sqm",Listed 10 days ago,"Unfurnished,Private Garden,Lobby in Building,Balcony,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
374,Chalet,"6,150,000EGP",Chalet|Marassi|For sale|Fully finished,"Marassi, Sidi Abdel Rahman, North Coast","2bedrooms,2bathrooms,128sqm",Listed 1 month ago,"Unfurnished,Security,Children's Pool,Concierge,Maid Service,Balcony,Shared Gym,Study,Shared Pool,Pets Allowed,View of Landmark,Children's Play Area,Covered Parking,Shared Spa"
375,Apartment,"2,800,000EGP",Own Apartment Prime location 165 M - Mostkbal city,"Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3bedrooms,3bathrooms,165sqm",Listed 26 days ago,"Unfurnished,Security,Concierge,Balcony,Study,Walk-in Closet,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
376,Villa,"8,100,000EGP",villa twinhouse Ready to move with 20%downpayment,"Cleopatra Palace, 5th District, Shorouk City, Cairo","4bedrooms,4bathrooms,379sqm",Listed 11 days ago,"Unfurnished,Security,Private Garden,Concierge,Maid Service,Lobby in Building,Balcony,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
377,Apartment,"3,500,000EGP",Apt 3BR delivery2023 lowest price in Golden Square,"Aster Compound, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,155sqm",Listed 12 days ago,"Partly furnished,Kitchen Appliances,Central A/C,Security,Private Garden,Children's Pool,Concierge,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking"
378,Apartment,"6,000,000EGP",THE LAST 3 BED WITH PRIME VIEW IN CLUB YARD 5% DP,"O West, 6 October Compounds, 6 October City, Giza","3bedrooms,4bathrooms,165sqm",Listed 3 days ago,"Unfurnished,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
379,Villa,"495,000EGP",Villa225m with garden| Below Market Price,"The Wonder Marq, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3bedrooms,3bathrooms,175sqm",Listed 2 months ago,"Unfurnished,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Balcony,Private Gym,Private Pool,Children's Play Area,Barbecue Area,Covered Parking"
380,Villa,"40,000,000EGP",Villa Special design prime location in palm hills,"Palm Hills Golf Views, Cairo Alexandria Desert Road, 6 October City, Giza","8bedrooms,8bathrooms,2,150sqm",Listed 17 days ago,"Unfurnished,Security,Private Garden,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,View of Landmark,Covered Parking,Shared Spa"
381,Apartment,"600,000EGP",apartment fully finished + installments 9 years,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,165sqm",Listed 24 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
382,Townhouse,"5,975,000EGP",Town House Middle For sale in Vay Sodic,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza","3bedrooms,3bathrooms,200sqm",Listed 18 days ago,"Unfurnished,Security,Concierge,Maid Service,Built in Wardrobes,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking"
383,iVilla,"5,900,000EGP",Own your IVilla Roof in MV /9 Years Installments,"Mountain View 1, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,220sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Balcony,Walk-in Closet,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
384,Villa,"7,900,000EGP",limited Time Offer Villa double view 10%Dp,"Mangroovy Residence, Al Gouna, Hurghada, Red Sea","5bedrooms,5bathrooms,175sqm",Listed 1 month ago,"Partly furnished,Security,Private Garden,Children's Pool,Balcony,Shared Gym,Maids Room,Shared Pool,Pets Allowed,View of Water,Children's Play Area,Shared Spa"
385,Chalet,"4,570,000EGP",Unit is finished I La Vista 6 I 30% down payment,"La Vista 6, La Vista, Al Ain Al Sokhna, Suez","3bedrooms,2bathrooms,120sqm",Listed 27 days ago,"Unfurnished,Security,Private Garden,Children's Pool,Shared Gym,Shared Pool,Children's Play Area,Shared Spa"
386,Chalet,"3,400,000EGP",With 5% DP chalet for sale on the sea Telal Sokhna,"Telal Al Sokhna, Al Ain Al Sokhna, Suez","3bedrooms,2bathrooms,125sqm",Listed 14 days ago,"Unfurnished,Security,Children's Pool,Concierge,Maid Service,Lobby in Building,Balcony,Shared Gym,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
387,Twin House,"6,200,000EGP",Twin House For Sale in Al Karma 4 -El Sheikh Zayed,"Al Karma 4, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","3bedrooms,3bathrooms,316sqm",Listed 5 months ago,"Unfurnished,Kitchen Appliances,Private Jacuzzi,Security,Private Garden,Maid Service,Balcony,Private Gym,Study,Pets Allowed,Children's Play Area,Barbecue Area"
388,Twin House,"5,950,000EGP",Amazing Special Twin Villa for sale at Amwaj windy,"Amwaj, Al Alamein, North Coast","4bedrooms,3bathrooms,223sqm",Listed more than 6 months ago,"Furnished,Kitchen Appliances,Central A/C,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
389,Apartment,"108,855EGP",AP 78 m |SEA VIEW| 10% |8 YEARS |45% CASH DISCOUNT,"New Mansoura, Al Daqahlya","1bedroom,1bathroom,78sqm",Listed 16 days ago,none
390,Apartment,"2,500,000EGP",Apt 130 meters for sale over 8 years Porto October,"Porto October, Green Belt, 6 October City, Giza","3bedrooms,2bathrooms,130sqm",Listed 14 days ago,"Unfurnished,Security,Children's Pool,Balcony,Shared Gym,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
391,Villa,"18,000,000EGP",Villa for sale  view  golf with swimming pool,"Al  Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","6bedrooms,5bathrooms,640sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Children's Pool,Maid Service,Built in Wardrobes,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
392,Villa,"8,300,000EGP",your villa in Lake West 1 | best location in Zayed,"Lake West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","4bedrooms,4bathrooms,282sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
393,Townhouse,"3,028,914EGP",Townhouse Middle for sale at Mountain View I-City.,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,4bathrooms,230sqm",Listed 24 days ago,"Unfurnished,Security,Maid Service,Pets Allowed,Children's Play Area,Barbecue Area"
394,Apartment,"8,150,000EGP",Apartment 239 m in Mivida Fully finished with inst,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,239sqm",Listed 18 days ago,"Unfurnished,Security,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
395,Villa,"9,809,000EGP",Villa MV Resale Sodic East prime location,"Sodic East, 6th District, New Heliopolis, Cairo","4bedrooms,5bathrooms,340sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking"
396,Duplex,"3,700,000EGP",villa 213m + roof 50m  IL Bosco city +installments,"IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3bedrooms,3bathrooms,213sqm",Listed 17 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
397,Townhouse,Askforprice,Townhouse\receive a year\installments over 6 years,"Lake West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","3bedrooms,3bathrooms,265sqm",Listed 2 months ago,"Unfurnished,Security,Private Garden,Children's Pool,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Walk-in Closet,Private Pool,Shared Pool,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
398,Apartment,"3,700,000EGP",Apartment for sale in karmell in new zayed city  .,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza","2bedrooms,2bathrooms,123sqm",Listed 2 months ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Children's Pool,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Study,Walk-in Closet"
399,Chalet,"925,000EGP",Chalet 140 m ready to move in Blue Blue Sokhna,"Blue Blue, Al Ain Al Sokhna, Suez","2bedrooms,2bathrooms,140sqm",Listed 16 days ago,"Unfurnished,Security,Private Garden,Children's Pool,Balcony,Shared Pool,Pets Allowed,View of Water,Children's Play Area,Barbecue Area"
400,Apartment,"2,800,000EGP",Typical floor apartment for sale at The Village,"The Village, South Investors Area, New Cairo City, Cairo","2bedrooms,2bathrooms,146sqm",Listed 4 months ago,"Unfurnished,Security,Children's Pool,Balcony,Shared Pool,Pets Allowed,View of Landmark,Children's Play Area"
401,Townhouse,"300,000EGP",villa 220m prime location installments 12 years,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","3bedrooms,3bathrooms,220sqm",Listed 20 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
402,Apartment,"3,500,000EGP",Apartment for sale in Mountain View hyde park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2bedrooms,2bathrooms,133sqm",Listed 10 days ago,"Partly furnished,Kitchen Appliances,Central A/C,Security,Concierge,Lobby in Building,Balcony,Shared Gym,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
403,Townhouse,"4,900,000EGP",First row lagoon townhouse |15% over 8 years,"Azzar Islands, Qesm Ad Dabaah, North Coast","3bedrooms,3bathrooms",Listed 3 months ago,"Unfurnished,Security,Children's Pool,Balcony,Private Gym,Shared Pool,View of Landmark,Barbecue Area"
404,Villa,"1,301,100EGP",*Zed East* Villa286m+4 large rooms+Installments 9y,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4bedrooms,4bathrooms,286sqm",Listed 2 months ago,"Unfurnished,Central A/C,Security,Private Garden,Private Pool,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
405,Apartment,"4,750,000EGP",Semi-Finished Apartment 180m for sale in One-16,"One 16, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","3bedrooms,3bathrooms,180sqm",Listed 1 month ago,"Unfurnished,Security,Balcony,Maids Room,Pets Allowed,View of Water,Children's Play Area,Barbecue Area,Covered Parking"
406,Penthouse,"6,500,000EGP",Penthouse  prime Location for sale Palm Parks,"Palm Parks   Palm Hills, South Dahshur Link, 6 October City, Giza","3bedrooms,3bathrooms,276sqm",Listed 1 month ago,"Furnished,Kitchen Appliances,Central A/C,Security,Balcony,Maids Room,Walk-in Closet,Pets Allowed,View of Water,View of Landmark,Covered Parking"
407,Apartment,"2,900,000EGP",Featured Apartment |First floor sea| Super Lux,"El Narges Buildings, Al Narges, New Cairo City, Cairo","3bedrooms,2bathrooms,240sqm",Listed 2 months ago,none
408,Townhouse,"6,660,000EGP",Resale Town house in City Gate | New Cairo |,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,260sqm",Listed 18 days ago,"Unfurnished,Security,Balcony,Shared Gym,Study,Walk-in Closet,View of Landmark,Covered Parking,Shared Spa"
409,Apartment,"750,000EGP","Apartment in Gesr El Suez, an area of ​​80 m","Gesr Suez St., Roxy, Heliopolis - Masr El Gedida, Cairo","2bedrooms,1bathroom,80sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Security"
410,Villa,"300,000EGP",villa 220m + garden 100 m installments 12years,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","3bedrooms,2bathrooms,220sqm",Listed 18 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
411,Apartment,"700,000EGP","Studio for sale in Blue Views Mivida,  to Emaar","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Studio,1bathroom,95sqm",Listed 3 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
